Event,Gold,Gold.1,Silver,Silver.1,Bronze,Bronze.1,Year,Discipline,Male/Female/Mixed,Status,Date,Participants,NOCs
"Shot Put, Women",Margitta Gummel,GDR,Marita Lange,GDR,Nadezhda Chizhova,URS,1968,Athletics,,,,,
"Discus Throw, Women",Lia Manoliu,ROU,Liesel Westermann,FRG,JolÃ¡n Kleiber-Kontsek,HUN,1968,Athletics,,,,,
"Javelin Throw, Women",AngÃ©la NÃ©meth,HUN,Mihaela PeneÈ,ROU,Eva Janko,AUT,1968,Athletics,,,,,
"Pentathlon, Women",Ingrid Becker,FRG,Liese Prokop,AUT,AnnamÃ¡ria KovÃ¡cs-TÃ³th,HUN,1968,Athletics,,,,,
"Basketball, Men",United States,USA,Yugoslavia,YUG,Soviet Union,URS,1968,Basketball,,,,,
"Light-Flyweight, Men",Francisco RodrÃ­guez,VEN,Ji Yong-Ju,KOR,Harlan MarbleyHubert Skrzypczak,USAPOL,1968,Boxing,,,,,
"Flyweight, Men",Ricardo Delgado,MEX,Artur Olech,POL,Servilio de OliveiraLeo Rwabwogo,BRAUGA,1968,Boxing,,,,,
"Bantamweight, Men",Valerian Sokolov,URS,Eridadi Mukwanga,UGA,Eiji MoriokaJang Sun-Gil,JPNKOR,1968,Boxing,,,,,
"Featherweight, Men",Antonio RoldÃ¡n,MEX,Al Robinson,USA,Philip WaruingeIvan Mikhaylov,KENBUL,1968,Boxing,,,,,
"Lightweight, Men",Ronnie Harris,USA,JÃ³zef GrudzieÅ,POL,Calistrat CuÈovZvonko Vujin,ROUYUG,1968,Boxing,,,,,
"Light-Welterweight, Men",Jerzy Kulej,POL,Enrique RegÃ¼eiferos,CUB,Arto NilssonJim Wallington,FINUSA,1968,Boxing,,,,,
"Welterweight, Men",Manfred Wolke,GDR,Joseph Bessala,CMR,Vladimir MusalimovMario Guilloti,URSARG,1968,Boxing,,,,,
"Light-Middleweight, Men",Boris Lagutin,URS,Rolando Garbey,CUB,Johnny BaldwinGÃ¼nther Meier,USAFRG,1968,Boxing,,,,,
"Middleweight, Men",Chris Finnegan,GBR,Aleksey Kiselyov,URS,AgustÃ­n ZaragozaAl Jones,MEXUSA,1968,Boxing,,,,,
"Light-Heavyweight, Men",Danas Pozniakas,URS,Ion Monea,ROU,Georgi StankovStanisÅaw Dragan,BULPOL,1968,Boxing,,,,,
"Heavyweight, Men",George Foreman,USA,Jonas Äepulis,URS,Giorgio BambiniJoaquÃ­n Rocha,ITAMEX,1968,Boxing,,,,,
"Kayak Singles, 1,000 metres, Men",MihÃ¡ly Hesz,HUN,Aleksandr Shaparenko,URS,Erik Hansen,DEN,1968,Canoe Sprint,,,,,
"Kayak Doubles, 1,000 metres, Men",Soviet Union,URS,Hungary,HUN,Austria,AUT,1968,Canoe Sprint,,,,,
"Kayak Fours, 1,000 metres, Men",Norway,NOR,Romania,ROU,Hungary,HUN,1968,Canoe Sprint,,,,,
"Canadian Singles, 1,000 metres, Men",Tibor Tatai,HUN,Detlef Lewe,FRG,Vitaly Galkov,URS,1968,Canoe Sprint,,,,,
"Canadian Doubles, 1,000 metres, Men",Romania,ROU,Hungary,HUN,Soviet Union,URS,1968,Canoe Sprint,,,,,
"Kayak Singles, 500 metres, Women",Lyudmila Pinayeva,URS,Renate Breuer,FRG,Viorica Dumitru,ROU,1968,Canoe Sprint,,,,,
"Kayak Doubles, 500 metres, Women",West Germany,FRG,Hungary,HUN,Soviet Union,URS,1968,Canoe Sprint,,,,,
"Road Race, Individual, Men",Pierfranco Vianelli,ITA,Leif Mortensen,DEN,GÃ¶sta Pettersson,SWE,1968,Cycling Road,,,,,
"100 kilometres Team Time Trial, Men",Netherlands,NED,Sweden,SWE,Italy,ITA,1968,Cycling Road,,,,,
"Sprint, Men",Daniel Morelon,FRA,Giordano Turrini,ITA,Pierre Trentin,FRA,1968,Cycling Track,,,,,
"1,000 metres Time Trial, Men",Pierre Trentin,FRA,Niels Fredborg,DEN,Janusz Kierzkowski,POL,1968,Cycling Track,,,,,
"Tandem Sprint, 2,000 metres, Men",France,FRA,Netherlands,NED,Belgium,BEL,1968,Cycling Track,,,,,
"Individual Pursuit, 4,000 metres, Men",Daniel RÃ©billard,FRA,Mogens Frey Jensen,DEN,Xaver Kurmann,SUI,1968,Cycling Track,,,,,
"Team Pursuit, 4,000 metres, Men",Denmark,DEN,West Germany,FRG,Italy,ITA,1968,Cycling Track,,,,,
"Springboard, Men",Bernie Wrightson,USA,Klaus Dibiasi,ITA,Jim Henry,USA,1968,Diving,,,,,
"Platform, Men",Klaus Dibiasi,ITA,Ãlvaro Gaxiola,MEX,Win Young,USA,1968,Diving,,,,,
"Springboard, Women",Sue Gossick,USA,Tamara Pogozheva,URS,Keala O'Sullivan,USA,1968,Diving,,,,,
"Platform, Women",Milena DuchkovÃ¡,TCH,Nataliya Kuznetsova-Lobanova,URS,Ann Peterson,USA,1968,Diving,,,,,
"Individual, Open",Ivan Kizimov,URS,Josef Neckermann,FRG,Reiner Klimke,FRG,1968,Equestrian Dressage,,,,,
"Team, Open",West Germany,FRG,Soviet Union,URS,Switzerland,SUI,1968,Equestrian Dressage,,,,,
"Individual, Open",Jean-Jacques Guyon,FRA,Derek Allhusen,GBR,Michael Page,USA,1968,Equestrian Eventing,,,,,
"Team, Open",Great Britain,GBR,United States,USA,Australia,AUS,1968,Equestrian Eventing,,,,,
"Individual, Open",Bill Steinkraus,USA,Marion Coakes,GBR,David Broome,GBR,1968,Equestrian Jumping,,,,,
"Team, Open",Canada,CAN,France,FRA,West Germany,FRG,1968,Equestrian Jumping,,,,,
"Foil, Individual, Men",Ion DrÃ®mbÄ,ROU,JenÅ Kamuti,HUN,Daniel Revenu,FRA,1968,Fencing,,,,,
"Foil, Team, Men",France,FRA,Soviet Union,URS,Poland,POL,1968,Fencing,,,,,
"ÃpÃ©e, Individual, Men",GyÅzÅ KulcsÃ¡r,HUN,Grigory Kriss,URS,Gianluigi Saccaro,ITA,1968,Fencing,,,,,
"ÃpÃ©e, Team, Men",Hungary,HUN,Soviet Union,URS,Poland,POL,1968,Fencing,,,,,
"Sabre, Individual, Men",Jerzy PawÅowski,POL,Mark Rakita,URS,Tibor PÃ©zsa,HUN,1968,Fencing,,,,,
"Sabre, Team, Men",Soviet Union,URS,Italy,ITA,Hungary,HUN,1968,Fencing,,,,,
"Foil, Individual, Women",Yelena Novikova,URS,Pilar RoldÃ¡n,MEX,IldikÃ³ RejtÅ-Ujlaky,HUN,1968,Fencing,,,,,
"Foil, Team, Women",Soviet Union,URS,Hungary,HUN,Romania,ROU,1968,Fencing,,,,,
"Football, Men",Hungary,HUN,Bulgaria,BUL,Japan,JPN,1968,Football,,,,,
"Hockey, Men",Pakistan,PAK,Australia,AUS,India,IND,1968,Hockey,,,,,
"Individual, Men",BjÃ¶rn Ferm,SWE,AndrÃ¡s BalczÃ³,HUN,Pavel Lednyov,URS,1968,Modern Pentathlon,,,,,
"Team, Men",Hungary,HUN,Soviet Union,URS,France,FRA,1968,Modern Pentathlon,,,,,
"Single Sculls, Men",Jan Wienese,NED,Jochen MeiÃner,FRG,Alberto Demiddi,ARG,1968,Rowing,,,,,
"Double Sculls, Men",Soviet Union,URS,Netherlands,NED,United States,USA,1968,Rowing,,,,,
"Coxless Pairs, Men",East Germany,GDR,United States,USA,Denmark,DEN,1968,Rowing,,,,,
"Coxed Pairs, Men",Italy,ITA,Netherlands,NED,Denmark,DEN,1968,Rowing,,,,,
"Coxless Fours, Men",East Germany,GDR,Hungary,HUN,Italy,ITA,1968,Rowing,,,,,
"Coxed Fours, Men",New Zealand,NZL,East Germany,GDR,Switzerland,SUI,1968,Rowing,,,,,
"Eights, Men",West Germany,FRG,Australia,AUS,Soviet Union,URS,1968,Rowing,,,,,
"One Person Dinghy, Open",Valentin Mankin,URS,Hubert Raudaschl,AUT,Fabio Albarelli,ITA,1968,Sailing,,,,,
"Two Person Keelboat, Open",United States,USA,Norway,NOR,Italy,ITA,1968,Sailing,,,,,
"Three Person Keelboat, Open",United States,USA,Denmark,DEN,East Germany,GDR,1968,Sailing,,,,,
"Two Person Heavyweight Dinghy, Open",Great Britain,GBR,West Germany,FRG,Brazil,BRA,1968,Sailing,,,,,
"5.5 metres, Open",Sweden,SWE,Switzerland,SUI,Great Britain,GBR,1968,Sailing,,,,,
"Rapid-Fire Pistol, 25 metres, Open",JÃ³zef ZapÄdzki,POL,Marcel RoÈca,ROU,Renart Suleymanov,URS,1968,Shooting,,,,,
"Free Pistol, 50 metres, Open",Grigory Kosykh,URS,Heinz Mertel,FRG,Harald Vollmar,GDR,1968,Shooting,,,,,
"Free Rifle, Three Positions, 300 metres, Open",Gary Anderson,USA,Valentin Kornev,URS,Kurt MÃ¼ller,SUI,1968,Shooting,,,,,
"Small-Bore Rifle, Three Positions, 50 metres, Open",Bernd Klingner,FRG,John Writer,USA,Vitaly Parkhimovich,URS,1968,Shooting,,,,,
"Small-Bore Rifle, Prone, 50 metres, Open",Jan KÅ¯rka,TCH,LÃ¡szlÃ³ Hammerl,HUN,Ian Ballinger,NZL,1968,Shooting,,,,,
"Trap, Open",Bob Braithwaite,GBR,Tom Garrigus,USA,Kurt Czekalla,GDR,1968,Shooting,,,,,
"Skeet, Open",Yevgeny Petrov,URS,Romano Garagnani,ITA,Konrad Wirnhier,FRG,1968,Shooting,,,,,
"100 metres Freestyle, Men",Mike Wenden,AUS,Ken Walsh,USA,Mark Spitz,USA,1968,Swimming,,,,,
"200 metres Freestyle, Men",Mike Wenden,AUS,Don Schollander,USA,John Nelson,USA,1968,Swimming,,,,,
"400 metres Freestyle, Men",Mike Burton,USA,Ralph Hutton,CAN,Alain Mosconi,FRA,1968,Swimming,,,,,
"1,500 metres Freestyle, Men",Mike Burton,USA,John Kinsella,USA,Greg Brough,AUS,1968,Swimming,,,,,
"4 Ã 100 metres Freestyle Relay, Men",United States,USA,Soviet Union,URS,Australia,AUS,1968,Swimming,,,,,
"4 Ã 200 metres Freestyle Relay, Men",United States,USA,Australia,AUS,Soviet Union,URS,1968,Swimming,,,,,
"100 metres Backstroke, Men",Roland Matthes,GDR,Charlie Hickcox,USA,Ronnie Mills,USA,1968,Swimming,,,,,
"200 metres Backstroke, Men",Roland Matthes,GDR,Mitch Ivey,USA,Jack Horsley,USA,1968,Swimming,,,,,
"100 metres Breaststroke, Men",Don McKenzie,USA,Vladimir Kosinsky,URS,Nikolay Pankin,URS,1968,Swimming,,,,,
"200 metres Breaststroke, Men",Felipe MuÃ±oz,MEX,Vladimir Kosinsky,URS,Brian Job,USA,1968,Swimming,,,,,
"100 metres Butterfly, Men",Doug Russell,USA,Mark Spitz,USA,Ross Wales,USA,1968,Swimming,,,,,
"200 metres Butterfly, Men",Carl Robie,USA,Martyn Woodroffe,GBR,John Ferris,USA,1968,Swimming,,,,,
"200 metres Individual Medley, Men",Charlie Hickcox,USA,Greg Buckingham,USA,John Ferris,USA,1968,Swimming,,,,,
"400 metres Individual Medley, Men",Charlie Hickcox,USA,Gary Hall,USA,Mike Holthaus,FRG,1968,Swimming,,,,,
"4 Ã 100 metres Medley Relay, Men",United States,USA,East Germany,GDR,Soviet Union,URS,1968,Swimming,,,,,
"100 metres Freestyle, Women",Jan Henne,USA,Sue Pedersen,USA,Linda Gustavson,USA,1968,Swimming,,,,,
"200 metres Freestyle, Women",Debbie Meyer,USA,Jan Henne,USA,Jane Barkman,USA,1968,Swimming,,,,,
"400 metres Freestyle, Women",Debbie Meyer,USA,Linda Gustavson,USA,Karen Moras,AUS,1968,Swimming,,,,,
"800 metres Freestyle, Women",Debbie Meyer,USA,Pam Kruse,USA,MarÃ­a Teresa RamÃ­rez,MEX,1968,Swimming,,,,,
"4 Ã 100 metres Freestyle Relay, Women",United States,USA,East Germany,GDR,Canada,CAN,1968,Swimming,,,,,
"100 metres Backstroke, Women",Kaye Hall,USA,Elaine Tanner,CAN,Jane Swagerty,USA,1968,Swimming,,,,,
"200 metres Backstroke, Women",Pokey Watson,USA,Elaine Tanner,CAN,Kaye Hall,USA,1968,Swimming,,,,,
"100 metres Breaststroke, Women",ÄurÄica Bjedov,YUG,Galina Prozumenshchikova,URS,Sharon Wichman,USA,1968,Swimming,,,,,
"200 metres Breaststroke, Women",Sharon Wichman,USA,ÄurÄica Bjedov,YUG,Galina Prozumenshchikova,URS,1968,Swimming,,,,,
"100 metres Butterfly, Women",Lyn McClements,AUS,Ellie Daniel,USA,Susan Shields,USA,1968,Swimming,,,,,
"200 metres Butterfly, Women",Ada Kok,NED,Helga Lindner,GDR,Ellie Daniel,USA,1968,Swimming,,,,,
"200 metres Individual Medley, Women",Claudia Kolb,USA,Sue Pedersen,USA,Jan Henne,USA,1968,Swimming,,,,,
"400 metres Individual Medley, Women",Claudia Kolb,USA,Lynn Vidali,USA,Sabine Steinbach,GDR,1968,Swimming,,,,,
"4 Ã 100 metres Medley Relay, Women",United States,USA,Australia,AUS,West Germany,FRG,1968,Swimming,,,,,
"Volleyball, Men",Soviet Union,URS,Japan,JPN,Czechoslovakia,TCH,1968,Volleyball,,,,,
"Volleyball, Women",Soviet Union,URS,Japan,JPN,Poland,POL,1968,Volleyball,,,,,
"Water Polo, Men",Yugoslavia,YUG,Soviet Union,URS,Hungary,HUN,1968,Water Polo,,,,,
"Bantamweight, Men",Mohammad Nassiri,IRI,Imre FÃ¶ldi,HUN,Henryk TrÄbicki,POL,1968,Weightlifting,,,,,
"Featherweight, Men",Yoshinobu Miyake,JPN,Dito Shanidze,URS,Yoshiyuki Miyake,JPN,1968,Weightlifting,,,,,
"Lightweight, Men",Waldemar Baszanowski,POL,Parviz Jalayer,IRI,Marian ZieliÅski,POL,1968,Weightlifting,,,,,
"Middleweight, Men",Viktor Kurentsov,URS,Masashi Ohuchi,JPN,KÃ¡roly Bakos,HUN,1968,Weightlifting,,,,,
"Light-Heavyweight, Men",Boris Selitsky,URS,Vladimir Belyayev,URS,Norbert Ozimek,POL,1968,Weightlifting,,,,,
"Middle-Heavyweight, Men",Kaarlo Kangasniemi,FIN,Jaan Talts,URS,Marek GoÅÄb,POL,1968,Weightlifting,,,,,
"Heavyweight, Men",Leonid Zhabotinsky,URS,Serge Reding,BEL,Joe Dube,USA,1968,Weightlifting,,,,,
"Flyweight, Greco-Roman, Men",Petar Kirov,BUL,Vladimir Bakulin,URS,Miroslav Zeman,TCH,1968,Wrestling,,,,,
"Bantamweight, Greco-Roman, Men",JÃ¡nos Varga,HUN,Ion Baciu,ROU,Ivan Kochergin,URS,1968,Wrestling,,,,,
"Featherweight, Greco-Roman, Men",Roman Rurua,URS,Hideo Fujimoto,JPN,Simion Popescu,ROU,1968,Wrestling,,,,,
"Lightweight, Greco-Roman, Men",Munji Munemura,JPN,Stevan Horvat,YUG,Petros Galaktopoulos,GRE,1968,Wrestling,,,,,
"Welterweight, Greco-Roman, Men",Rudolf Vesper,GDR,Daniel Robin,FRA,KÃ¡roly BajkÃ³,HUN,1968,Wrestling,,,,,
"Middleweight, Greco-Roman, Men",Lothar Metz,GDR,Valentin Olenik,URS,Branislav SimiÄ,YUG,1968,Wrestling,,,,,
"Light-Heavyweight, Greco-Roman, Men",Boyan Radev,BUL,Nikolay Yakovenko,URS,Nicolae Martinescu,ROU,1968,Wrestling,,,,,
"Heavyweight, Greco-Roman, Men",IstvÃ¡n Kozma,HUN,Anatoly Roshchin,URS,Petr Kment,TCH,1968,Wrestling,,,,,
"Flyweight, Freestyle, Men",Shigeo Nakata,JPN,Rich Sanders,USA,Chimedbazaryn Damdinsharav,MGL,1968,Wrestling,,,,,
"Bantamweight, Freestyle, Men",Yojiro Uetake,JPN,Don Behm,USA,Abutaleb Talebi,IRI,1968,Wrestling,,,,,
"Featherweight, Freestyle, Men",Masaaki Kaneko,JPN,Enyu Todorov,BUL,Shamseddin Seyyed Abbasi,IRI,1968,Wrestling,,,,,
"Lightweight, Freestyle, Men",Abdullah Movahed,IRI,Enyu Valchev,BUL,Danzandarjaagiin Sereeter,MGL,1968,Wrestling,,,,,
"Welterweight, Freestyle, Men",Mahmut Atalay,TUR,Daniel Robin,FRA,TÃ¶mÃ¶riin Artag,MGL,1968,Wrestling,,,,,
"Middleweight, Freestyle, Men",Boris Gurevich,URS,Jigjidiin MÃ¶nkhbat,MGL,Prodan Gardzhev,BUL,1968,Wrestling,,,,,
"Light-Heavyweight, Freestyle, Men",Ahmet AyÄ±k,TUR,Shota Lomidze,URS,JÃ³zsef CsatÃ¡ri,HUN,1968,Wrestling,,,,,
"Heavyweight, Freestyle, Men",Aliaksandr Miadved,URS,Osman Duraliev,BUL,Wilfried Dietrich,FRG,1968,Wrestling,,,,,
"Individual, Men",John Williams,USA,Gunnar Jervill,SWE,KyÃ¶sti Laasonen,FIN,1972,Archery,,,,,
"Individual, Women",Doreen Wilber,USA,Irena SzydÅowska,POL,Emma Gapchenko,URS,1972,Archery,,,,,
"Individual All-Around, Men",Sawao Kato,JPN,Eizo Kenmotsu,JPN,Akinori Nakayama,JPN,1972,Artistic Gymnastics,,,,,
"Team All-Around, Men",Japan,JPN,Soviet Union,URS,East Germany,GDR,1972,Artistic Gymnastics,,,,,
"Floor Exercise, Men",Nikolay Andrianov,URS,Akinori Nakayama,JPN,Shigeru Kasamatsu,JPN,1972,Artistic Gymnastics,,,,,
"Horse Vault, Men",Klaus KÃ¶ste,GDR,Viktor Klimenko,URS,Nikolay Andrianov,URS,1972,Artistic Gymnastics,,,,,
"Parallel Bars, Men",Sawao Kato,JPN,Shigeru Kasamatsu,JPN,Eizo Kenmotsu,JPN,1972,Artistic Gymnastics,,,,,
"Horizontal Bar, Men",Mitsuo Tsukahara,JPN,Sawao Kato,JPN,Shigeru Kasamatsu,JPN,1972,Artistic Gymnastics,,,,,
"Rings, Men",Akinori Nakayama,JPN,Mikhail Voronin,URS,Mitsuo Tsukahara,JPN,1972,Artistic Gymnastics,,,,,
"Pommelled Horse, Men",Viktor Klimenko,URS,Sawao Kato,JPN,Eizo Kenmotsu,JPN,1972,Artistic Gymnastics,,,,,
"Individual All-Around, Women",Lyudmila Turishcheva,URS,Karin Janz,GDR,Tamara Lazakovich,URS,1972,Artistic Gymnastics,,,,,
"Team All-Around, Women",Soviet Union,URS,East Germany,GDR,Hungary,HUN,1972,Artistic Gymnastics,,,,,
"Floor Exercise, Women",Olga Korbut,URS,Lyudmila Turishcheva,URS,Tamara Lazakovich,URS,1972,Artistic Gymnastics,,,,,
"Horse Vault, Women",Karin Janz,GDR,Erika Zuchold,GDR,Lyudmila Turishcheva,URS,1972,Artistic Gymnastics,,,,,
"Uneven Bars, Women",Karin Janz,GDR,Olga KorbutErika Zuchold,URSGDR,â,â,1972,Artistic Gymnastics,,,,,
"Balance Beam, Women",Olga Korbut,URS,Tamara Lazakovich,URS,Karin Janz,GDR,1972,Artistic Gymnastics,,,,,
"100 metres, Men",Valery Borzov,URS,Robert Taylor,USA,Lennox Miller,JAM,1972,Athletics,,,,,
"200 metres, Men",Valery Borzov,URS,Larry Black,USA,Pietro Mennea,ITA,1972,Athletics,,,,,
"400 metres, Men",Vince Matthews,USA,Wayne Collett,USA,Julius Sang,KEN,1972,Athletics,,,,,
"800 metres, Men",Dave Wottle,USA,Yevgeny Arzhanov,URS,Mike Boit,KEN,1972,Athletics,,,,,
"1,500 metres, Men",Pekka Vasala,FIN,Kip Keino,KEN,Rod Dixon,NZL,1972,Athletics,,,,,
"5,000 metres, Men",Lasse VirÃ©n,FIN,Mohamad Gammoudi,TUN,Ian Stewart,GBR,1972,Athletics,,,,,
"10,000 metres, Men",Lasse VirÃ©n,FIN,Miel Puttemans,BEL,Miruts Yifter,ETH,1972,Athletics,,,,,
"Marathon, Men",Frank Shorter,USA,Karel Lismont,BEL,Mamo Wolde,ETH,1972,Athletics,,,,,
"110 metres Hurdles, Men",Rod Milburn,USA,Guy Drut,FRA,Tom Hill,USA,1972,Athletics,,,,,
"400 metres Hurdles, Men",John Akii-Bua,UGA,Ralph Mann,USA,Dave Hemery,GBR,1972,Athletics,,,,,
"3,000 metres Steeplechase, Men",Kip Keino,KEN,Ben Jipcho,KEN,Tapio Kantanen,FIN,1972,Athletics,,,,,
"4 Ã 100 metres Relay, Men",United States,USA,Soviet Union,URS,West Germany,FRG,1972,Athletics,,,,,
"4 Ã 400 metres Relay, Men",Kenya,KEN,Great Britain,GBR,France,FRA,1972,Athletics,,,,,
"20 kilometres Walk, Men",Peter Frenkel,GDR,Vladimir Golubnichy,URS,Hans-Georg Reimann,GDR,1972,Athletics,,,,,
"50 kilometres Walk, Men",Bernd Kannenberg,FRG,Veniamin Soldatenko,URS,Larry Young,USA,1972,Athletics,,,,,
"High Jump, Men",JÃ¼ri Tarmak,URS,Stefan Junge,GDR,Dwight Stones,USA,1972,Athletics,,,,,
"Pole Vault, Men",Wolfgang Nordwig,GDR,Bob Seagren,USA,Jan Johnson,USA,1972,Athletics,,,,,
"Long Jump, Men",Randy Williams,USA,Hans Baumgartner,FRG,Arnie Robinson,USA,1972,Athletics,,,,,
"Triple Jump, Men",Viktor Saneyev,URS,JÃ¶rg Drehmel,GDR,NÃ©lson PrudÃªncio,BRA,1972,Athletics,,,,,
"Shot Put, Men",WÅadysÅaw Komar,POL,George Woods,USA,Hartmut Briesenick,GDR,1972,Athletics,,,,,
"Discus Throw, Men",LudvÃ­k DanÄk,TCH,Jay Silvester,USA,Ricky Bruch,SWE,1972,Athletics,,,,,
"Hammer Throw, Men",Anatoly Bondarchuk,URS,Jochen Sachse,GDR,Vasily Khmelevsky,URS,1972,Athletics,,,,,
"Javelin Throw, Men",Klaus Wolfermann,FRG,JÄnis LÅ«sis,URS,Bill Schmidt,USA,1972,Athletics,,,,,
"Decathlon, Men",Nikolay Avilov,URS,Leonid Litvinenko,URS,Ryszard Katus,POL,1972,Athletics,,,,,
"100 metres, Women",Renate Stecher,GDR,Raelene Boyle,AUS,Silvia ChivÃ¡s,CUB,1972,Athletics,,,,,
"200 metres, Women",Renate Stecher,GDR,Raelene Boyle,AUS,Irena SzewiÅska,POL,1972,Athletics,,,,,
"400 metres, Women",Monika Zehrt,GDR,Rita Wilden,FRG,Kathy Hammond,USA,1972,Athletics,,,,,
"800 metres, Women",Hildegard Falck,FRG,NijolÄ SabaitÄ,URS,Gunhild Hoffmeister,GDR,1972,Athletics,,,,,
"1,500 metres, Women",Lyudmila Bragina,URS,Gunhild Hoffmeister,GDR,Paola Cacchi,ITA,1972,Athletics,,,,,
"100 metres Hurdles, Women",Annelie Ehrhardt,GDR,Valeria Bufanu,ROU,Karin Balzer,GDR,1972,Athletics,,,,,
"4 Ã 100 metres Relay, Women",West Germany,FRG,East Germany,GDR,Cuba,CUB,1972,Athletics,,,,,
"4 Ã 400 metres Relay, Women",East Germany,GDR,United States,USA,West Germany,FRG,1972,Athletics,,,,,
"High Jump, Women",Ulrike Meyfarth,FRG,Yordanka Blagoeva,BUL,Ilona Gusenbauer,AUT,1972,Athletics,,,,,
"Long Jump, Women",Heide Rosendahl,FRG,Diana Yorgova,BUL,Eva Å uranovÃ¡,TCH,1972,Athletics,,,,,
"Shot Put, Women",Nadezhda Chizhova,URS,Margitta Gummel,GDR,Ivanka Khristova,BUL,1972,Athletics,,,,,
"Discus Throw, Women",Faina Melnik,URS,Argentina Menis,ROU,Vasilka Stoeva,BUL,1972,Athletics,,,,,
"Javelin Throw, Women",Ruth Fuchs,GDR,Jacqueline Todten,GDR,Kate Schmidt,USA,1972,Athletics,,,,,
"Pentathlon, Women",Mary Peters,GBR,Heide Rosendahl,FRG,Burglinde Pollak,GDR,1972,Athletics,,,,,
"Basketball, Men",Soviet Union,URS,United States,USA,Cuba,CUB,1972,Basketball,,,,,
"Light-Flyweight, Men",GyÃ¶rgy GedÃ³,HUN,Kim U-Gil,PRK,Ralph EvansDacal RodrÃ­guez,GBRESP,1972,Boxing,,,,,
"Flyweight, Men",Georgi Kostadinov,BUL,Leo Rwabwogo,UGA,Leszek BÅaÅ¼yÅskiDouglas RodrÃ­guez,POLCUB,1972,Boxing,,,,,
"Bantamweight, Men",Orlando MartÃ­nez,CUB,Alfonso Zamora,MEX,George TurpinRicardo Carreras,GBRUSA,1972,Boxing,,,,,
"Featherweight, Men",Boris Kuznetsov,URS,Philip Waruinge,KEN,Clemente RojasAndrÃ¡s Botos,COLHUN,1972,Boxing,,,,,
"Lightweight, Men",Jan SzczepaÅski,POL,LÃ¡szlÃ³ OrbÃ¡n,HUN,Samuel MbuguaAlfonso PÃ©rez,KENCOL,1972,Boxing,,,,,
"Light-Welterweight, Men",Ray Seales,USA,Angel Angelov,BUL,Zvonko VujinIssaka DaborÃ©,YUGNIG,1972,Boxing,,,,,
"Welterweight, Men",Emilio Correa,CUB,JÃ¡nos Kajdi,HUN,Dick MurungaJesse Valdez,KENUSA,1972,Boxing,,,,,
"Light-Middleweight, Men",Dieter Kottysch,FRG,WiesÅaw Rudkowski,POL,Alan MinterPeter Tiepold,GBRGDR,1972,Boxing,,,,,
"Middleweight, Men",Vyacheslav Lemeshev,URS,Reima Virtanen,FIN,Prince AmarteyMarvin Johnson,GHAUSA,1972,Boxing,,,,,
"Light-Heavyweight, Men",Mate Parlov,YUG,Gilberto Carrillo,CUB,Isaac IkhouriaJanusz Gortat,NGRPOL,1972,Boxing,,,,,
"Heavyweight, Men",TeÃ³filo Stevenson,CUB,Ion Alexe,ROU,Peter HussingHasse ThomsÃ©n,FRGSWE,1972,Boxing,,,,,
"Kayak Singles, Slalom, Men",Siegbert Horn,GDR,Norbert Sattler,AUT,Harald Gimpel,GDR,1972,Canoe Slalom,,,,,
"Canadian Singles, Slalom, Men",Reinhard Eiben,GDR,Reinhold Kauder,FRG,Jamie McEwan,USA,1972,Canoe Slalom,,,,,
"Canadian Doubles, Slalom, Men",East Germany 1,GDR,West Germany 1,FRG,France,FRA,1972,Canoe Slalom,,,,,
"Kayak Singles, Slalom, Women",Angelika Bahmann,GDR,Gisela Grothaus,FRG,Magdalena Wunderlich,FRG,1972,Canoe Slalom,,,,,
"Kayak Singles, 1,000 metres, Men",Aleksandr Shaparenko,URS,Rolf Peterson,SWE,GÃ©za CsapÃ³,HUN,1972,Canoe Sprint,,,,,
"Kayak Doubles, 1,000 metres, Men",Soviet Union,URS,Hungary,HUN,Poland,POL,1972,Canoe Sprint,,,,,
"Kayak Fours, 1,000 metres, Men",Soviet Union,URS,Romania,ROU,Norway,NOR,1972,Canoe Sprint,,,,,
"Canadian Singles, 1,000 metres, Men",Ivan Patzaichin,ROU,TamÃ¡s Wichmann,HUN,Detlef Lewe,FRG,1972,Canoe Sprint,,,,,
"Canadian Doubles, 1,000 metres, Men",Soviet Union,URS,Romania,ROU,Bulgaria,BUL,1972,Canoe Sprint,,,,,
"Kayak Singles, 500 metres, Women",Yuliya Ryabchinskaya,URS,Mieke Jaapies,NED,Anna Pfeffer,HUN,1972,Canoe Sprint,,,,,
"Kayak Doubles, 500 metres, Women",Soviet Union,URS,East Germany,GDR,Romania,ROU,1972,Canoe Sprint,,,,,
"Road Race, Individual, Men",Hennie Kuiper,NED,Clyde Sefton,AUS,â,â,1972,Cycling Road,,,,,
"100 kilometres Team Time Trial, Men",Soviet Union,URS,Poland,POL,â,â,1972,Cycling Road,,,,,
"Sprint, Men",Daniel Morelon,FRA,John Nicholson,AUS,Omar Pkhak'adze,URS,1972,Cycling Track,,,,,
"1,000 metres Time Trial, Men",Niels Fredborg,DEN,Danny Clark,AUS,JÃ¼rgen SchÃ¼tze,GDR,1972,Cycling Track,,,,,
"Tandem Sprint, 2,000 metres, Men",Soviet Union,URS,East Germany,GDR,Poland,POL,1972,Cycling Track,,,,,
